Date,Time,Monkey,Panel,Sess Time,Trial,Trial Time,"code (0 grid touch, 1 large pix touch, 2 failed trial)",Latency to grid touch,Grid Choice,Category,Picture,Switch?,Switch count,Left categ,Left picture,Right categ,Right picture,Correct Trials,Failed Trials,% Failed,% success,Correct Trials Left,Correct Trials Right,% left choice,% right choice,record number
2016_04_06_1_25_PM,41004.51765,29928,5,35375,1,30000,2,30000,99,,,,0,Affiliative,AFF6.JPG,Fruit,FRT2.JPG,0,1,100,0,0,0,NaN,NaN,1
2016_04_06_1_26_PM,41004.51836,29928,5,96375,2,30000,2,30000,99,,,,0,Affiliative,AFF4.JPG,Fruit,FRT1.JPG,0,2,100,0,0,0,NaN,NaN,2
2016_04_06_1_27_PM,41004.51906,29928,5,157375,3,30000,2,30000,99,,,,0,Affiliative,AFF1.JPG,Fruit,FRT6.JPG,0,3,100,0,0,0,NaN,NaN,3
2016_04_06_1_28_PM,41004.51977,29928,5,218375,4,30000,2,30000,99,,,,0,Affiliative,AFF3.JPG,Fruit,FRT3.JPG,0,4,100,0,0,0,NaN,NaN,4
2016_04_06_1_29_PM,41004.52048,29928,5,279375,5,30000,2,30000,99,,,,0,Affiliative,AFF2.JPG,Fruit,FRT4.JPG,0,5,100,0,0,0,NaN,NaN,5
2016_04_06_1_30_PM,41004.52118,29928,5,340375,6,30000,2,30000,99,,,,0,Affiliative,AFF5.JPG,Fruit,FRT5.JPG,0,6,100,0,0,0,NaN,NaN,6
2016_04_06_1_31_PM,41004.52189,29928,5,401375,7,30000,2,30000,99,,,,0,Nature,NAT6.JPG,Affiliative,AFF2.JPG,0,7,100,0,0,0,NaN,NaN,7
2016_04_06_1_32_PM,41004.52259,29928,5,462375,8,30000,2,30000,99,,,,0,Nature,NAT3.JPG,Affiliative,AFF3.JPG,0,8,100,0,0,0,NaN,NaN,8
2016_04_06_1_33_PM,41004.5233,29928,5,523375,9,30000,2,30000,99,,,,0,Nature,NAT4.JPG,Affiliative,AFF6.JPG,0,9,100,0,0,0,NaN,NaN,9
2016_04_06_1_34_PM,41004.52401,29928,5,584375,10,30000,2,30000,99,,,,0,Nature,NAT1.JPG,Affiliative,AFF5.JPG,0,10,100,0,0,0,NaN,NaN,10
2016_04_06_1_35_PM,41004.52471,29928,5,645375,11,30000,2,30000,99,,,,0,Nature,NAT2.JPG,Affiliative,AFF1.JPG,0,11,100,0,0,0,NaN,NaN,11
2016_04_06_1_36_PM,41004.52542,29928,5,706375,12,30000,2,30000,99,,,,0,Nature,NAT5.JPG,Affiliative,AFF4.JPG,0,12,100,0,0,0,NaN,NaN,12
