Date	Time	Monkey	Panel	Sess Time	Trial	Trial Time	"code (0 grid touch, 1 large pix touch, 2 failed trial)"	Latency to grid touch	Grid Choice	Category	Picture	Switch?	Switch count	Left categ	Left picture	Right categ	Right picture	Correct Trials	Failed Trials	% Failed	% success	Correct Trials Left	Correct Trials Right	% left choice	% right choice	record number
2016_04_07_12_59_PM	41005.49962	29928	5	34789	1	30000	2	30000	99				0	Nature	NAT2.JPG	Affiliative	AFF2.JPG	0	1	100	0	0	0	NaN	NaN	1
2016_04_07_1_00_PM	41005.50032	29928	5	95789	2	30000	2	30000	99				0	Nature	NAT5.JPG	Affiliative	AFF3.JPG	0	2	100	0	0	0	NaN	NaN	2
2016_04_07_1_01_PM	41005.50103	29928	5	156789	3	30000	2	30000	99				0	Nature	NAT4.JPG	Affiliative	AFF6.JPG	0	3	100	0	0	0	NaN	NaN	3
2016_04_07_1_02_PM	41005.50173	29928	5	217789	4	30000	2	30000	99				0	Nature	NAT1.JPG	Affiliative	AFF4.JPG	0	4	100	0	0	0	NaN	NaN	4
2016_04_07_1_03_PM	41005.50244	29928	5	278789	5	30000	2	30000	99				0	Nature	NAT3.JPG	Affiliative	AFF1.JPG	0	5	100	0	0	0	NaN	NaN	5
2016_04_07_1_04_PM	41005.50315	29928	5	339789	6	30000	2	30000	99				0	Nature	NAT6.JPG	Affiliative	AFF5.JPG	0	6	100	0	0	0	NaN	NaN	6
2016_04_07_1_05_PM	41005.50385	29928	5	400789	7	30000	2	30000	99				0	Fruit	FRT4.JPG	Nature	NAT6.JPG	0	7	100	0	0	0	NaN	NaN	7
2016_04_07_1_06_PM	41005.50456	29928	5	461789	8	30000	2	30000	99				0	Fruit	FRT1.JPG	Nature	NAT4.JPG	0	8	100	0	0	0	NaN	NaN	8
2016_04_07_1_07_PM	41005.50526	29928	5	522789	9	30000	2	30000	99				0	Fruit	FRT5.JPG	Nature	NAT3.JPG	0	9	100	0	0	0	NaN	NaN	9
2016_04_07_1_08_PM	41005.50597	29928	5	583789	10	30000	2	30000	99				0	Fruit	FRT3.JPG	Nature	NAT2.JPG	0	10	100	0	0	0	NaN	NaN	10
2016_04_07_1_09_PM	41005.50668	29928	5	644789	11	30000	2	30000	99				0	Fruit	FRT2.JPG	Nature	NAT5.JPG	0	11	100	0	0	0	NaN	NaN	11
2016_04_07_1_10_PM	41005.50738	29928	5	705789	12	30000	2	30000	99				0	Fruit	FRT6.JPG	Nature	NAT1.JPG	0	12	100	0	0	0	NaN	NaN	12
2016_04_07_1_11_PM	41005.50813	29928	5	770789	13	30000	2	30000	99				0	Lab	LAB2.JPG	Affiliative	AFF5.JPG	0	13	100	0	0	0	NaN	NaN	13
2016_04_07_1_12_PM	41005.50884	29928	5	831789	14	30000	2	30000	99				0	Lab	LAB3.JPG	Affiliative	AFF3.JPG	0	14	100	0	0	0	NaN	NaN	14
2016_04_07_1_13_PM	41005.50955	29928	5	892789	15	30000	2	30000	99				0	Lab	LAB4.JPG	Affiliative	AFF1.JPG	0	15	100	0	0	0	NaN	NaN	15
2016_04_07_1_14_PM	41005.51025	29928	5	953789	16	30000	2	30000	99				0	Lab	LAB6.JPG	Affiliative	AFF4.JPG	0	16	100	0	0	0	NaN	NaN	16
2016_04_07_1_15_PM	41005.51096	29928	5	1014789	17	30000	2	30000	99				0	Lab	LAB1.JPG	Affiliative	AFF2.JPG	0	17	100	0	0	0	NaN	NaN	17
2016_04_07_1_16_PM	41005.51166	29928	5	1075789	18	30000	2	30000	99				0	Lab	LAB5.JPG	Affiliative	AFF6.JPG	0	18	100	0	0	0	NaN	NaN	18
2016_04_07_1_17_PM	41005.51237	29928	5	1136789	19	30000	2	30000	99				0	Lab	LAB4.JPG	Nature	NAT4.JPG	0	19	100	0	0	0	NaN	NaN	19
2016_04_07_1_18_PM	41005.51308	29928	5	1197789	20	30000	2	30000	99				0	Lab	LAB6.JPG	Nature	NAT5.JPG	0	20	100	0	0	0	NaN	NaN	20
2016_04_07_1_19_PM	41005.51378	29928	5	1258789	21	30000	2	30000	99				0	Lab	LAB3.JPG	Nature	NAT6.JPG	0	21	100	0	0	0	NaN	NaN	21
2016_04_07_1_20_PM	41005.51449	29928	5	1319792	22	30000	2	30000	99				0	Lab	LAB1.JPG	Nature	NAT1.JPG	0	22	100	0	0	0	NaN	NaN	22
2016_04_07_1_21_PM	41005.51494	29928	5	1359131	23	8342	0	8342	1	Nature	NAT3.JPG		0	Lab	LAB5.JPG	Nature	NAT3.JPG	1	22	96	4	0	1	0	100	23
2016_04_07_1_22_PM	41005.51575	29928	5	1428851	24	17062	0	17062	1	Nature	NAT2.JPG		0	Lab	LAB2.JPG	Nature	NAT2.JPG	2	22	92	8	0	2	0	100	24
2016_04_07_1_22_PM	41005.51588	29928	5	1439831	24	28042	1	28042	99				0					2	22	92	8	0	2	0	100	25
2016_04_07_1_22_PM	41005.51592	29928	5	1443267	24	31478	1	31478	99				0					2	22	92	8	0	2	0	100	26
2016_04_07_1_22_PM	41005.51593	29928	5	1444419	24	32630	1	32630	99				0					2	22	92	8	0	2	0	100	27
2016_04_07_1_22_PM	41005.51593	29928	5	1444639	24	32850	1	32850	99				0					2	22	92	8	0	2	0	100	28
2016_04_07_1_23_PM	41005.51597	29928	5	1447751	24	35962	1	35962	99				0					2	22	92	8	0	2	0	100	29
2016_04_07_1_23_PM	41005.51638	29928	5	1483288	25	6497	0	6497	1	Affiliative	AFF5.JPG		0	Fruit	FRT4.JPG	Affiliative	AFF5.JPG	3	22	88	12	0	3	0	100	30
2016_04_07_1_23_PM	41005.51639	29928	5	1484247	25	7456	1	7456	99				0					3	22	88	12	0	3	0	100	31
2016_04_07_1_24_PM	41005.51733	29928	5	1565114	26	27325	0	27325	0	Fruit	FRT3.JPG	1	1	Fruit	FRT3.JPG	Affiliative	AFF4.JPG	4	22	85	15	1	3	25	75	32
2016_04_07_1_25_PM	41005.5175	29928	5	1579617	26	41828	1	41828	99				1					4	22	85	15	1	3	25	75	33
2016_04_07_1_26_PM	41005.51807	29928	5	1628791	27	30000	2	30000	99				1	Fruit	FRT5.JPG	Affiliative	AFF6.JPG	4	23	85	15	1	3	25	75	34
2016_04_07_1_26_PM	41005.51842	29928	5	1659792	28	0	0	0	1	Affiliative	AFF1.JPG	1	2	Fruit	FRT6.JPG	Affiliative	AFF1.JPG	5	23	82	18	1	4	20	80	35
2016_04_07_1_26_PM	41005.51856	29928	5	1671415	28	11623	1	11623	99				2					5	23	82	18	1	4	20	80	36
2016_04_07_1_26_PM	41005.51865	29928	5	1679283	28	19491	1	19491	99				2					5	23	82	18	1	4	20	80	37
2016_04_07_1_26_PM	41005.51873	29928	5	1686503	28	26711	1	26711	99				2					5	23	82	18	1	4	20	80	38
2016_04_07_1_27_PM	41005.51879	29928	5	1691631	28	31839	1	31839	99				2					5	23	82	18	1	4	20	80	39
2016_04_07_1_28_PM	41005.51948	29928	5	1750792	29	30000	2	30000	99				2	Fruit	FRT2.JPG	Affiliative	AFF3.JPG	5	24	83	17	1	4	20	80	40
2016_04_07_1_08_PM	41005.50623	29987	10	20102	1	15000	2	15000	99				0	Affiliative	AFF2.JPG	Lab	LAB5.JPG	0	1	100	0	0	0	NaN	NaN	1
2016_04_07_1_09_PM	41005.50693	29987	10	81101	2	15000	2	15000	99				0	Affiliative	AFF5.JPG	Lab	LAB1.JPG	0	2	100	0	0	0	NaN	NaN	2
2016_04_07_1_11_PM	41005.50764	29987	10	142101	3	15000	2	15000	99				0	Affiliative	AFF4.JPG	Lab	LAB2.JPG	0	3	100	0	0	0	NaN	NaN	3
2016_04_07_1_11_PM	41005.50828	29987	10	197325	4	9224	0	9224	0	Affiliative	AFF3.JPG		0	Affiliative	AFF3.JPG	Lab	LAB4.JPG	1	3	75	25	1	0	100	0	4
2016_04_07_1_13_PM	41005.50905	29987	10	264102	5	15000	2	15000	99				0	Affiliative	AFF1.JPG	Lab	LAB3.JPG	1	4	80	20	1	0	100	0	5
2016_04_07_1_14_PM	41005.50976	29987	10	325101	6	15000	2	15000	99				0	Affiliative	AFF6.JPG	Lab	LAB6.JPG	1	5	83	17	1	0	100	0	6
2016_04_07_1_15_PM	41005.51046	29987	10	386101	7	15000	2	15000	99				0	Lab	LAB6.JPG	Nature	NAT4.JPG	1	6	86	14	1	0	100	0	7
2016_04_07_1_16_PM	41005.51114	29987	10	444079	8	11978	0	11978	0	Lab	LAB2.JPG		0	Lab	LAB2.JPG	Nature	NAT1.JPG	2	6	75	25	2	0	100	0	8
2016_04_07_1_16_PM	41005.5112	29987	10	449693	8	17592	1	17592	99				0					2	6	75	25	2	0	100	0	9
2016_04_07_1_16_PM	41005.51129	29987	10	457366	8	25265	1	25265	99				0					2	6	75	25	2	0	100	0	10
2016_04_07_1_17_PM	41005.5118	29987	10	501689	9	8587	0	8587	1	Nature	NAT2.JPG	1	1	Lab	LAB3.JPG	Nature	NAT2.JPG	3	6	67	33	2	1	67	33	11
2016_04_07_1_18_PM	41005.51258	29987	10	569101	10	15000	2	15000	99				1	Lab	LAB1.JPG	Nature	NAT3.JPG	3	7	70	30	2	1	67	33	12
2016_04_07_1_19_PM	41005.51329	29987	10	630101	11	15000	2	15000	99				1	Lab	LAB5.JPG	Nature	NAT6.JPG	3	8	73	27	2	1	67	33	13
2016_04_07_1_20_PM	41005.51399	29987	10	691102	12	15000	2	15000	99				1	Lab	LAB4.JPG	Nature	NAT5.JPG	3	9	75	25	2	1	67	33	14
2016_04_07_1_21_PM	41005.51475	29987	10	756102	13	15000	2	15000	99				1	Fruit	FRT2.JPG	Lab	LAB5.JPG	3	10	77	23	2	1	67	33	15
2016_04_07_1_22_PM	41005.51545	29987	10	817101	14	15000	2	15000	99				1	Fruit	FRT3.JPG	Lab	LAB2.JPG	3	11	79	21	2	1	67	33	16
2016_04_07_1_23_PM	41005.51616	29987	10	878101	15	15000	2	15000	99				1	Fruit	FRT4.JPG	Lab	LAB6.JPG	3	12	80	20	2	1	67	33	17
2016_04_07_1_24_PM	41005.51686	29987	10	939101	16	15000	2	15000	99				1	Fruit	FRT1.JPG	Lab	LAB1.JPG	3	13	81	19	2	1	67	33	18
2016_04_07_1_25_PM	41005.51757	29987	10	1000101	17	15000	2	15000	99				1	Fruit	FRT6.JPG	Lab	LAB3.JPG	3	14	82	18	2	1	67	33	19
2016_04_07_1_26_PM	41005.51828	29987	10	1061101	18	15000	2	15000	99				1	Fruit	FRT5.JPG	Lab	LAB4.JPG	3	15	83	17	2	1	67	33	20
2016_04_07_1_27_PM	41005.51898	29987	10	1122101	19	15000	2	15000	99				1	Affiliative	AFF1.JPG	Fruit	FRT6.JPG	3	16	84	16	2	1	67	33	21
2016_04_07_1_28_PM	41005.51969	29987	10	1183101	20	15000	2	15000	99				1	Affiliative	AFF2.JPG	Fruit	FRT5.JPG	3	17	85	15	2	1	67	33	22
2016_04_07_1_29_PM	41005.52039	29987	10	1244102	21	15000	2	15000	99				1	Affiliative	AFF5.JPG	Fruit	FRT3.JPG	3	18	86	14	2	1	67	33	23
2016_04_07_1_30_PM	41005.5211	29987	10	1305102	22	15000	2	15000	99				1	Affiliative	AFF3.JPG	Fruit	FRT4.JPG	3	19	86	14	2	1	67	33	24
