Date	Time	Monkey	Panel	Sess Time	Trial	Trial Time	code (0 grid touch, 1 large pix touch, 2 failed trial)	Latency to grid touch	Grid Choice	Category	Picture	Switch?	Switch count	Left categ	Left picture	Right categ	Right picture	Correct Trials	Failed Trials	% Failed	% success	Correct Trials Left	Correct Trials Right	% left choice	% right choice	record number
2016_04_08_1_28_PM	41006.5200402392	30557	6	19735	1	14639	0	14639	1	Affiliative	AFF1.JPG		0	Fruit	FRT4.JPG	Affiliative	AFF1.JPG	1	0	0	100	0	1	0	100	1
2016_04_08_1_28_PM	41006.5200561777	30557	6	21135	1	16039	1	16039	99				0					1	0	0	100	0	1	0	100	2
2016_04_08_1_29_PM	41006.5206468249	30557	6	72147	2	6052	0	6052	1	Affiliative	AFF3.JPG		0	Fruit	FRT5.JPG	Affiliative	AFF3.JPG	2	0	0	100	0	2	0	100	3
2016_04_08_1_29_PM	41006.5206794425	30557	6	74984	2	8889	1	8889	99				0					2	0	0	100	0	2	0	100	4
2016_04_08_1_29_PM	41006.5206871975	30557	6	75654	2	9559	1	9559	99				0					2	0	0	100	0	2	0	100	5
2016_04_08_1_29_PM	41006.5207035063	30557	6	77064	2	10969	1	10969	99				0					2	0	0	100	0	2	0	100	6
2016_04_08_1_29_PM	41006.5207142130	30557	6	77988	2	11893	1	11893	99				0					2	0	0	100	0	2	0	100	7
2016_04_08_1_29_PM	41006.5207334849	30557	6	79653	2	13558	1	13558	99				0					2	0	0	100	0	2	0	100	8
2016_04_08_1_30_PM	41006.5210217190	30557	6	104557	2	38462	1	38462	99				0					2	0	0	100	0	2	0	100	9
2016_04_08_1_30_PM	41006.5210385487	30557	6	106011	2	39916	1	39916	99				0					2	0	0	100	0	2	0	100	10
2016_04_08_1_30_PM	41006.5213111916	30557	6	129547	3	2452	0	2452	1	Affiliative	AFF2.JPG		0	Fruit	FRT6.JPG	Affiliative	AFF2.JPG	3	0	0	100	0	3	0	100	11
2016_04_08_1_30_PM	41006.5213298037	30557	6	131176	3	4081	1	4081	99				0					3	0	0	100	0	3	0	100	12
2016_04_08_1_30_PM	41006.5213432420	30557	6	132336	3	5241	1	5241	99				0					3	0	0	100	0	3	0	100	13
2016_04_08_1_30_PM	41006.5213516337	30557	6	133062	3	5967	1	5967	99				0					3	0	0	100	0	3	0	100	14
2016_04_08_1_30_PM	41006.5214290108	30557	6	139746	3	12651	1	12651	99				0					3	0	0	100	0	3	0	100	15
2016_04_08_1_31_PM	41006.5221622009	30557	6	203095	4	15000	2	15000	99				0	Fruit	FRT2.JPG	Affiliative	AFF4.JPG	3	1	25	75	0	3	0	100	16
2016_04_08_1_32_PM	41006.5228682135	30557	6	264095	5	15000	2	15000	99				0	Fruit	FRT3.JPG	Affiliative	AFF5.JPG	3	2	40	60	0	3	0	100	17
2016_04_08_1_33_PM	41006.5234603075	30557	6	315234	6	5139	0	5139	1	Affiliative	AFF6.JPG		0	Fruit	FRT1.JPG	Affiliative	AFF6.JPG	4	2	33	67	0	4	0	100	18
2016_04_08_1_33_PM	41006.5234764311	30557	6	316645	6	6550	1	6550	99				0					4	2	33	67	0	4	0	100	19
2016_04_08_1_33_PM	41006.5234998584	30557	6	318669	6	8574	1	8574	99				0					4	2	33	67	0	4	0	100	20
2016_04_08_1_34_PM	41006.5242240665	30557	6	381195	7	10100	0	10100	1	Lab	LAB1.JPG		0	Nature	NAT4.JPG	Lab	LAB1.JPG	5	2	29	71	0	5	0	100	21
2016_04_08_1_34_PM	41006.5242501560	30557	6	383494	7	12399	1	12399	99				0					5	2	29	71	0	5	0	100	22
2016_04_08_1_34_PM	41006.5242642771	30557	6	384715	7	13620	1	13620	99				0					5	2	29	71	0	5	0	100	23
2016_04_08_1_34_PM	41006.5242846255	30557	6	386472	7	15377	1	15377	99				0					5	2	29	71	0	5	0	100	24
2016_04_08_1_35_PM	41006.5243101362	30557	6	388677	7	17582	1	17582	99				0					5	2	29	71	0	5	0	100	25
2016_04_08_1_35_PM	41006.5243423256	30557	6	391457	7	20362	1	20362	99				0					5	2	29	71	0	5	0	100	26
2016_04_08_1_35_PM	41006.5249080987	30557	6	440317	8	8221	0	8221	0	Nature	NAT1.JPG	1	1	Nature	NAT1.JPG	Lab	LAB3.JPG	6	2	25	75	1	5	17	83	27
2016_04_08_1_35_PM	41006.5249408205	30557	6	443168	8	11072	1	11072	99				1					6	2	25	75	1	5	17	83	28
2016_04_08_1_35_PM	41006.5249798042	30557	6	446535	8	14439	1	14439	99				1					6	2	25	75	1	5	17	83	29
2016_04_08_1_36_PM	41006.5249994812	30557	6	448235	8	16139	1	16139	99				1					6	2	25	75	1	5	17	83	30
2016_04_08_1_36_PM	41006.5250169128	30557	6	449742	8	17646	1	17646	99				1					6	2	25	75	1	5	17	83	31
2016_04_08_1_36_PM	41006.5250307214	30557	6	450934	8	18838	1	18838	99				1					6	2	25	75	1	5	17	83	32
2016_04_08_1_36_PM	41006.5250420531	30557	6	451914	8	19818	1	19818	99				1					6	2	25	75	1	5	17	83	33
2016_04_08_1_36_PM	41006.5250581304	30557	6	453303	8	21207	1	21207	99				1					6	2	25	75	1	5	17	83	34
2016_04_08_1_36_PM	41006.5256192157	30557	6	501739	9	8644	0	8644	1	Lab	LAB4.JPG	1	2	Nature	NAT5.JPG	Lab	LAB4.JPG	7	2	22	78	1	6	14	86	35
2016_04_08_1_36_PM	41006.5256332791	30557	6	502996	9	9901	1	9901	99				2					7	2	22	78	1	6	14	86	36
2016_04_08_1_36_PM	41006.5256439973	30557	6	503922	9	10827	1	10827	99				2					7	2	22	78	1	6	14	86	37
2016_04_08_1_36_PM	41006.5256558382	30557	6	504946	9	11851	1	11851	99				2					7	2	22	78	1	6	14	86	38
2016_04_08_1_36_PM	41006.5256642299	30557	6	505670	9	12575	1	12575	99				2					7	2	22	78	1	6	14	86	39
2016_04_08_1_37_PM	41006.5256944284	30557	6	508280	9	15185	1	15185	99				2					7	2	22	78	1	6	14	86	40
2016_04_08_1_37_PM	41006.5257265251	30557	6	511052	9	17957	1	17957	99				2					7	2	22	78	1	6	14	86	41
2016_04_08_1_37_PM	41006.5257442229	30557	6	512582	9	19487	1	19487	99				2					7	2	22	78	1	6	14	86	42
2016_04_08_1_37_PM	41006.5257576612	30557	6	513742	9	20647	1	20647	99				2					7	2	22	78	1	6	14	86	43
2016_04_08_1_37_PM	41006.5262589167	30557	6	557027	10	2932	0	2932	0	Nature	NAT2.JPG	1	3	Nature	NAT2.JPG	Lab	LAB6.JPG	8	2	20	80	2	6	25	75	44
2016_04_08_1_37_PM	41006.5262888374	30557	6	559636	10	5541	1	5541	99				3					8	2	20	80	2	6	25	75	45
2016_04_08_1_37_PM	41006.5263027965	30557	6	560843	10	6748	1	6748	99				3					8	2	20	80	2	6	25	75	46
2016_04_08_1_37_PM	41006.5263046948	30557	6	561007	10	6912	1	6912	99				3					8	2	20	80	2	6	25	75	47
2016_04_08_1_37_PM	41006.5263053430	30557	6	561062	10	6967	1	6967	99				3					8	2	20	80	2	6	25	75	48
2016_04_08_1_37_PM	41006.5263693744	30557	6	566595	10	12500	1	12500	99				3					8	2	20	80	2	6	25	75	49
2016_04_08_1_37_PM	41006.5263748724	30557	6	567070	10	12975	1	12975	99				3					8	2	20	80	2	6	25	75	50
2016_04_08_1_38_PM	41006.5269739229	30557	6	618785	11	3690	0	3690	1	Lab	LAB2.JPG	1	4	Nature	NAT3.JPG	Lab	LAB2.JPG	9	2	18	82	2	7	22	78	51
2016_04_08_1_38_PM	41006.5269852082	30557	6	619802	11	4707	1	4707	99				4					9	2	18	82	2	7	22	78	52
2016_04_08_1_38_PM	41006.5269958223	30557	6	620719	11	5624	1	5624	99				4					9	2	18	82	2	7	22	78	53
2016_04_08_1_38_PM	41006.5270498300	30557	6	625385	11	10290	1	10290	99				4					9	2	18	82	2	7	22	78	54
2016_04_08_1_40_PM	41006.5277991668	30557	6	690084	12	13989	0	13989	1	Lab	LAB5.JPG		4	Nature	NAT6.JPG	Lab	LAB5.JPG	10	2	17	83	2	8	20	80	55
2016_04_08_1_40_PM	41006.5278234159	30557	6	692224	12	16129	1	16129	99				4					10	2	17	83	2	8	20	80	56
2016_04_08_1_40_PM	41006.5278534639	30557	6	694820	12	18725	1	18725	99				4					10	2	17	83	2	8	20	80	57
2016_04_08_1_41_PM	41006.5285626596	30557	6	756095	13	15000	2	15000	99				4	Affiliative	AFF4.JPG	Lab	LAB2.JPG	10	3	23	77	2	8	20	80	58
2016_04_08_1_41_PM	41006.5291418015	30557	6	806088	14	3993	0	3993	1	Lab	LAB6.JPG		4	Affiliative	AFF3.JPG	Lab	LAB6.JPG	11	3	21	79	2	9	18	82	59
2016_04_08_1_42_PM	41006.5291741876	30557	6	808930	14	6835	1	6835	99				4					11	3	21	79	2	9	18	82	60
2016_04_08_1_42_PM	41006.5291908436	30557	6	810369	14	8274	1	8274	99				4					11	3	21	79	2	9	18	82	61
2016_04_08_1_43_PM	41006.5299619873	30557	6	876975	15	13880	0	13880	0	Affiliative	AFF5.JPG	1	5	Affiliative	AFF5.JPG	Lab	LAB3.JPG	12	3	20	80	3	9	25	75	62
2016_04_08_1_43_PM	41006.5300249539	30557	6	882437	15	19342	1	19342	99				5					12	3	20	80	3	9	25	75	63
2016_04_08_1_43_PM	41006.5301513963	30557	6	893362	15	30267	1	30267	99				5					12	3	20	80	3	9	25	75	64
