Date	Time	Monkey	Panel	Sess Time	Trial	Trial Time	"code (0 grid touch, 1 large pix touch, 2 failed trial)"	Latency to grid touch	Grid Choice	Category	Picture	Switch?	Switch count	Left categ	Left picture	Right categ	Right picture	Correct Trials	Failed Trials	% Failed	% success	Correct Trials Left	Correct Trials Right	% left choice	% right choice	record number
2016_11_11_1_18_PM	41223.5542181593	35386	9	21714	1	15000	2	15000	99				0	Affiliative	AFF4.JPG	Cynomolgus	CYN6.JPG	0	1	100	0	0	0	NaN	NaN	1
2016_11_11_1_19_PM	41223.5549241603	35386	9	82713	2	15000	2	15000	99				0	Affiliative	AFF5.JPG	Cynomolgus	CYN5.JPG	0	2	100	0	0	0	NaN	NaN	2
2016_11_11_1_20_PM	41223.5556301845	35386	9	143713	3	15000	2	15000	99				0	Affiliative	AFF6.JPG	Cynomolgus	CYN3.JPG	0	3	100	0	0	0	NaN	NaN	3
2016_11_11_1_21_PM	41223.5563361971	35386	9	204713	4	15000	2	15000	99				0	Affiliative	AFF2.JPG	Cynomolgus	CYN1.JPG	0	4	100	0	0	0	NaN	NaN	4
2016_11_11_1_22_PM	41223.5569832249	35386	9	260542	5	9829	0	9829	1	Cynomolgus	CYN4.JPG		0	Affiliative	AFF3.JPG	Cynomolgus	CYN4.JPG	1	4	80	20	0	1	0	100	5
2016_11_11_1_23_PM	41223.5577482338	35386	9	326713	6	15000	2	15000	99				0	Affiliative	AFF1.JPG	Cynomolgus	CYN2.JPG	1	5	83	17	0	1	0	100	6
2016_11_11_1_24_PM	41223.5584542581	35386	9	387713	7	15000	2	15000	99				0	Nature	NAT1.JPG	Affiliative	AFF1.JPG	1	6	86	14	0	1	0	100	7
2016_11_11_1_25_PM	41223.5591602822	35386	9	448714	8	15000	2	15000	99				0	Nature	NAT2.JPG	Affiliative	AFF6.JPG	1	7	88	12	0	1	0	100	8
2016_11_11_1_26_PM	41223.5597975409	35386	9	503725	9	9012	0	9012	1	Affiliative	AFF3.JPG		0	Nature	NAT3.JPG	Affiliative	AFF3.JPG	2	7	78	22	0	2	0	100	9
2016_11_11_1_27_PM	41223.5605723075	35386	9	570713	10	15000	2	15000	99				0	Nature	NAT5.JPG	Affiliative	AFF4.JPG	2	8	80	20	0	2	0	100	10
2016_11_11_1_28_PM	41223.5612783316	35386	9	631713	11	15000	2	15000	99				0	Nature	NAT4.JPG	Affiliative	AFF5.JPG	2	9	82	18	0	2	0	100	11
2016_11_11_1_29_PM	41223.5619843558	35386	9	692714	12	15000	2	15000	99				0	Nature	NAT6.JPG	Affiliative	AFF2.JPG	2	10	83	17	0	2	0	100	12
2016_11_11_1_30_PM	41223.5626903684	35386	9	753713	13	15000	2	15000	99				0	Cynomolgus	CYN4.JPG	Fruit	FRT2.JPG	2	11	85	15	0	2	0	100	13
2016_11_11_1_31_PM	41223.5633963810	35386	9	814713	14	15000	2	15000	99				0	Cynomolgus	CYN2.JPG	Fruit	FRT6.JPG	2	12	86	14	0	2	0	100	14
2016_11_11_1_32_PM	41223.5641024052	35386	9	875713	15	15000	2	15000	99				0	Cynomolgus	CYN6.JPG	Fruit	FRT3.JPG	2	13	87	13	0	2	0	100	15
2016_11_11_1_33_PM	41223.5648084294	35386	9	936714	16	15000	2	15000	99				0	Cynomolgus	CYN1.JPG	Fruit	FRT5.JPG	2	14	88	12	0	2	0	100	16
2016_11_11_1_34_PM	41223.5655144420	35386	9	997713	17	15000	2	15000	99				0	Cynomolgus	CYN5.JPG	Fruit	FRT4.JPG	2	15	88	12	0	2	0	100	17
2016_11_11_1_35_PM	41223.5661597104	35386	9	1053404	18	9691	0	9691	1	Fruit	FRT1.JPG		0	Cynomolgus	CYN3.JPG	Fruit	FRT1.JPG	3	15	83	17	0	3	0	100	18
2016_11_11_1_35_PM	41223.5662353629	35386	9	1060000	18	16287	1	16287	99				0	CYN3.JPG		FRT1.JPG		3	15	83	17	0	3	0	100	19
2016_11_11_1_35_PM	41223.5662443333	35386	9	1060775	18	17062	1	17062	99				0					3	15	83	17	0	3	0	100	20
2016_11_11_1_35_PM	41223.5662712214	35386	9	1063099	18	19386	1	19386	99				0					3	15	83	17	0	3	0	100	21
2016_11_11_1_35_PM	41223.5662765110	35386	9	1063556	18	19843	1	19843	99				0					3	15	83	17	0	3	0	100	22
2016_11_11_1_35_PM	41223.5663406698	35386	9	1069099	18	25386	1	25386	99				0					3	15	83	17	0	3	0	100	23
2016_11_11_1_35_PM	41223.5663457280	35386	9	1069536	18	25823	1	25823	99				0					3	15	83	17	0	3	0	100	24
2016_11_11_1_35_PM	41223.5663595250	35386	9	1070727	18	27014	1	27014	99				0					3	15	83	17	0	3	0	100	25
2016_11_11_1_35_PM	41223.5664728764	35386	9	1080522	18	36809	1	36809	99				0					3	15	83	17	0	3	0	100	26
2016_11_11_1_35_PM	41223.5665287593	35386	9	1085349	18	41636	1	41636	99				0					3	15	83	17	0	3	0	100	27
2016_11_11_1_36_PM	41223.5669959388	35386	9	1125714	19	15000	2	15000	99				0	Lab	LAB2.JPG	Cynomolgus	CYN5.JPG	3	16	84	16	0	3	0	100	28
